 label Gender(0=Male;1=Female;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Subrub;3=Big_City;) In_State(0=No;1=Yes;) Ethnicity(0=White;1=Black;2=Hispanic;3=East_Asian;4=South_Asian;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Religious_but_not_one_of_the_above;6=Agnostic;7=Atheist;) Religious like_Math Calculus(0=No;1=Yes;) ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Cell_Phone(0=Android;1=iPhone;2=Other;) Social_Media(10=V10_or_more;) Texts Good_or_Well Expected_Income President(1=Donald_Trump;2=Hillary_Clinton;3=Jill_Stein;4=Gary_Johnson;5=Not_eligible_to_vote;6=Chose_not_to_vote;) Illinois_Commitment Family_Income Liberal Political_Party(0=Democratic;1=Republican;2=Independent;3=Green;4=Libertarian;5=Other;) Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section(1=L1;2=KF;3=ONL;) 
Obs47 47 0 2 0 2 1 0 0 4 4 0 27 3.5 2 4 3 4 2 0 2 3 2 65 4 8 60 3 2 7 7 5 0 8 1 
Obs48 48 1 1 1 3 1 2 0 8 1 1 24 2.8 3 5 1 1 2 1 3 5 5 40 6 7 80 5 5 5 10 20 80 3 1 
Obs49 49 0 0 0 2 1 2 0 5 10 1 22 3.3 0 0 0 2 5 1 10 50 5 1000 5 5 50 0 0 0 5 0 100 4 1 
Obs50 50 0 0 1 2 1 0 0 2 5 1 29 4 12 11 1 0 2 0 2 15 5 90 5 4 67 6 1 5 9 0 60 0 1 
Obs51 51 1 1 0 3 0 0 2 4 5 1 18 3.7 0 0 0 1 7 1 8 5 8 5 5 9 66 5 0 4 8 0 100 6 1 
Obs52 52 1 1 0 1 1 0 0 5 8 1 30 4 6 5 1 1 10 1 1 10 5 120 5 6 200 4 0 6 9 5 100 6 1 
Obs53 53 1 1 0 3 0 0 0 8 4 1 27 3.9 4 0 0 1 5 1 4 6 6 100 5 5 140 7 4 5 7 5 90 5 1 
Obs54 54 1 1 0 3 1 2 0 6 0 0 29 3.7 6 5 0 1 7 1 2 4 0 75 5 10 24 9 0 5 10 10 10 5 1 
Obs55 55 1 1 0 3 0 4 7 0 0 1 22 3.7 0 0 0 1 7 1 4 3 6 60 5 10 200 0 0 6 10 0 100 7 1 
Obs56 56 1 1 0 2 1 0 0 5 6 1 28 3.4 25 30 3 0 2 1 3 8 6 100 5 5 175 5 0 4 8 40 100 6 1 
Obs57 57 1 1 0 0 1 0 0 0 6 1 29 4 10 20 2 1 50 1 4 5 10 80 5 10 225 10 1 3 10 0 0 7 1 
Obs58 58 1 1 0 0 1 1 0 9 6 0 24 3.5 0 0 0 0 2 1 4 2 4 95 2 10 250 8 0 7 9 10 70 10 1 
Obs59 59 1 1 0 2 1 1 6 3 1 1 25 3.5 5 4 2 2 2 1 4 3 8 120 6 4 100 4 0 4 6 0 0 7 1 
Obs60 60 1 1 0 0 1 0 0 3 7 0 23 3.7 14 20 9 1 2 1 4 15 4 60 5 10 64 6 2 5 8 0 0 0 1 
Obs61 61 1 1 0 2 1 3 0 6 6 0 26 3.7 4 0 0 0 7 1 2 4 1 100 5 10 50 5 5 5 8 10 10 2 1 
Obs62 62 0 0 0 1 0 5 6 0 7 1 30 3 7 10 3 1 0 1 4 4 2 100 2 10 150 2 0 4 10 0 80 0 1 
Obs63 63 1 1 0 3 1 0 0 7 2 0 25 3.8 12 10 0 0 1 1 5 10 5 60 5 3 40 0 0 7 8 0 100 8 1 
Obs64 64 0 0 0 2 1 2 0 7 8 1 22 4 2 0 0 1 8 1 3 5 6 150 5 7 30 6 5 7 10 10 80 8 1 
Obs65 65 1 1 0 2 1 0 0 7 6 1 26 3.7 7 8 0 0 3 1 4 6 5 80 5 5 110 5 0 3 10 0 80 3 1 
Obs66 66 1 1 1 2 1 0 0 5 6 0 26 4 10 15 4 0 7 1 3 10 3 100 5 10 300 4 0 4 9 15 60 2 1 
Obs67 67 0 0 0 1 1 0 1 8 7 1 26 3.7 0 0 0 0 25 1 3 7 7 300 5 10 300 5 0 2 10 10 100 8 1 
Obs68 68 1 1 0 2 1 0 6 3 3 0 25 3.7 0 0 1 1 3 0 1 5 1 50 5 9 100 3 0 5 9 10 50 9 1 
Obs69 69 1 1 0 3 0 3 7 0 8 1 31 3.3 0 0 0 1 3 1 1 5 3 140 5 9 300 9 0 8 10 0 100 6 1 
Obs70 70 1 1 0 2 1 0 1 8 3 1 27 4 10 10 0 0 3 1 2 20 10 300 2 10 500 3 0 5 8 5 100 7 1 
Obs71 71 1 1 0 2 1 0 1 3 2 0 30 3.6 4 12 1 0 6 1 4 7 6 20000 5 6 50000 2 0 6 7 0 100 5 1 
Obs72 72 0 0 0 3 1 2 0 3 6 0 25 2.9 2 0 0 0 20 0 5 3 5 90 5 4 30 4 0 5 9 0 0 3 1 
Obs73 73 0 0 0 1 0 0 0 10 4 0 21 2.8 0 0 6 1 1 1 4 3 5 100 6 5 200 6 1 8 10 0 50 7 1 
Obs74 74 1 1 0 0 1 0 0 7 7 1 28 4 0 0 0 1 7 1 4 20 5 120 5 4 130 3 0 5 8 10 80 5 1 
Obs75 75 1 1 1 0 1 4 3 3 0 0 20 3.9 3 2 2 0 1 1 4 2 6 100 6 7 80 5 0 5 5 0 100 7 1 
Obs76 76 1 1 0 2 1 0 0 6 8 0 26 3.9 16 28 1 2 4 1 6 3 3 70 5 2 2000 3 0 5 10 0 0 10 1 
Obs77 77 0 0 0 2 1 5 0 3 7 1 33 3.6 0 0 2 2 1 1 10 5 10 100 5 10 1300 7 4 0 5 20 0 5 1 
